category,food_id,id,name,WATER,FORAC,ACEAC,GLYCLAC,LACAC,GLUCAC,OXALAC,MOLAC,SUCAC,FUMAC,MALAC,TARAC,GLUAKAC,CITAC,SALAC,PCHOUAC,CAFFAC,FERAC,CHLRAC,QUINAC,OROTAC,PYROGAC,PROPAC,OA,
06,06025,0492,（えんどう類）　グリンピース　冷凍,75.7,-,-,-,-,-,-,-,Tr,-,0.1,-,0,0.1,-,-,-,-,-,-,-,-,-,0.2,
06,06374,0493,（えんどう類）　グリンピース　冷凍　ゆで,74.6,-,-,-,-,-,-,-,0,-,Tr,-,0,0.1,-,-,-,-,-,-,-,-,-,0.2,
06,06375,0494,（えんどう類）　グリンピース　冷凍　油いため,70.1,-,-,-,-,-,-,-,Tr,-,0.1,-,0,0.1,-,-,-,-,-,-,-,-,-,0.2,
06,06026,0495,（えんどう類）　グリンピース　水煮缶詰,74.9,-,-,-,-,-,-,-,(Tr),-,(0.1),-,-,(0.1),-,-,-,-,-,-,-,-,-,(0.2),06025グリンピース冷凍から推計
06,06032,0501,オクラ　果実　生,90.2,-,-,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,
06,06033,0502,オクラ　果実　ゆで,89.4,-,-,-,-,-,(0.1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(0.1),06032オクラ生から推計
06,06036,0505,かぶ　根　皮つき　生,93.9,-,-,-,-,-,-,-,-,-,0.1,-,-,0,-,-,-,-,-,-,-,-,-,0.1,
06,06037,0506,かぶ　根　皮つき　ゆで,93.8,-,-,-,-,-,-,-,-,-,(0.1),-,-,(0),-,-,-,-,-,-,-,-,-,(0.2),06036かぶ根皮つき生から推計
06,06038,0507,かぶ　根　皮なし　生,93.9,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,
06,06048,0517,（かぼちゃ類）　西洋かぼちゃ　果実　生,76.2,-,-,-,-,-,-,-,-,-,0.2,-,-,0.2,-,-,-,-,-,-,-,-,-,0.4,
06,06049,0518,（かぼちゃ類）　西洋かぼちゃ　果実　ゆで,75.7,-,-,-,-,-,-,-,-,-,(0.2),-,-,(0.2),-,-,-,-,-,-,-,-,-,(0.4),06048西洋かぼちゃ生から推計
06,06332,0519,（かぼちゃ類）　西洋かぼちゃ　果実　焼き,68.2,-,-,-,-,-,-,-,-,-,(0.3),-,-,(0.3),-,-,-,-,-,-,-,-,-,(0.5),06048西洋かぼちゃ生から推計
06,06050,0520,（かぼちゃ類）　西洋かぼちゃ　果実　冷凍,78.1,-,-,-,-,-,-,-,-,-,(0.2),-,-,(0.2),-,-,-,-,-,-,-,-,-,(0.4),06048西洋かぼちゃ生から推計
06,06054,0524,カリフラワー　花序　生,90.8,-,-,-,-,-,0,-,-,-,0.2,-,-,0.1,-,Tr,0,0.1,-,-,-,-,-,0.3,
06,06055,0525,カリフラワー　花序　ゆで,91.5,-,-,-,-,-,-,-,-,-,0.2,-,-,0.1,-,Tr,-,0.1,-,-,-,-,-,0.3,
06,06061,0532,（キャベツ類）　キャベツ　結球葉　生,92.9,-,-,-,-,-,0,-,0,-,0.1,-,-,0.1,-,-,-,-,-,0,-,-,-,0.1,
06,06062,0533,（キャベツ類）　キャベツ　結球葉　ゆで,93.9,-,-,-,-,-,-,-,-,-,(0.1),-,-,(Tr),-,-,-,-,-,-,-,-,-,(0.1),06061キャベツ生から推計
06,06333,0534,（キャベツ類）　キャベツ　結球葉　油いため,85.7,-,-,-,-,-,-,-,-,-,(0.1),-,-,(0.1),-,-,-,-,-,-,-,-,-,(0.2),可食部(100g)から脂質量(g)を差し引いた部分について06062キャベツゆでから再推計
06,06403,0534-1,（キャベツ類）　キャベツ　結球葉　カット　常法洗浄,94.8,-,-,-,-,-,-,-,-,-,0.1,-,-,Tr,-,-,-,-,-,-,-,-,-,0.1,
06,06404,0534-2,（キャベツ類）　キャベツ　結球葉　カット　次亜塩素酸洗浄,95.1,-,-,-,-,-,-,-,-,-,0.1,-,-,Tr,-,-,-,-,-,-,-,-,-,0.1,
06,06063,0535,（キャベツ類）　グリーンボール　結球葉　生,93.4,-,-,-,-,-,-,-,-,-,(0.1),-,-,(Tr),-,-,-,-,-,-,-,-,-,(0.1),06061キャベツ生から推計
06,06065,0537,きゅうり　果実　生,95.4,-,-,-,-,-,0,-,-,-,0.3,-,-,Tr,-,-,-,-,-,-,-,-,-,0.3,
06,06093,0563,（ししとう類）　ししとう　果実　生,91.4,-,-,-,-,-,-,-,-,-,0.2,-,-,0.1,-,-,-,-,-,-,-,-,-,0.3,
06,06094,0564,（ししとう類）　ししとう　果実　油いため,88.3,-,-,-,-,-,-,-,-,-,0.2,-,-,0.1,-,-,-,-,-,-,-,-,-,0.3,
06,06103,0573,（しょうが類）　しょうが　根茎　皮なし　生,91.4,-,-,-,-,-,-,-,-,-,0.1,-,-,0.1,-,-,-,-,-,-,-,-,-,0.1,
06,06104,0576,（しょうが類）　しょうが　漬物　酢漬,89.2,-,0.6,-,-,-,Tr,-,-,-,0.3,-,-,0.3,-,-,-,-,-,-,-,-,-,1.2,
06,06105,0577,（しょうが類）　しょうが　漬物　甘酢漬,86.0,-,0.8,-,Tr,-,0.1,-,-,-,0.1,-,-,Tr,-,-,-,-,-,-,-,-,-,1.0,
06,06108,0581,しろうり　漬物　奈良漬,44.0,0,Tr,-,Tr,-,-,-,-,-,-,-,-,Tr,-,-,-,-,-,-,-,0.1,-,0.2,
06,06119,0593,セロリ　葉柄　生,94.7,-,-,-,-,-,Tr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tr,
06,06138,0618,（だいこん類）　漬物　たくあん漬　塩押しだいこん漬,85.0,0,0.1,-,Tr,-,-,-,-,-,Tr,-,-,Tr,-,-,-,-,-,-,-,Tr,-,0.2,
06,06141,0621,（だいこん類）　漬物　べったら漬,83.1,-,0.1,-,0.1,-,-,-,-,-,Tr,-,-,Tr,-,-,-,-,-,-,-,Tr,-,0.2,
06,06142,0622,（だいこん類）　漬物　みそ漬,79.0,Tr,Tr,-,Tr,-,-,-,-,-,-,-,-,0.1,-,-,-,-,-,-,-,Tr,-,0.3,
06,06148,0628,たかな　たかな漬,87.2,Tr,0.1,-,0.2,-,-,-,-,-,0,-,-,0.1,-,-,-,-,-,-,-,0.1,-,0.5,
06,06149,0629,たけのこ　若茎　生,90.8,-,-,-,-,-,-,-,-,-,0.1,-,-,Tr,-,-,-,-,-,-,-,-,-,0.1,
06,06150,0630,たけのこ　若茎　ゆで,89.9,-,-,-,-,-,-,-,-,-,(0.1),-,-,(Tr),-,-,-,-,-,-,-,-,-,(0.1),06149たけのこ生から推計
06,06153,0633,（たまねぎ類）　たまねぎ　りん茎　生,90.1,-,-,-,-,-,0,-,-,-,0.1,-,-,0.1,-,-,-,-,-,-,-,-,-,0.2,
06,06156,0638,（たまねぎ類）　赤たまねぎ　りん茎　生,89.6,-,-,-,-,-,0,-,-,-,0.2,-,-,0.1,-,-,-,-,-,-,-,-,-,0.3,
06,06376,0643,ちぢみゆきな　葉　生,88.1,-,-,-,-,-,(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(0),文献値から推計
06,06377,0644,ちぢみゆきな　葉　ゆで,89.1,-,-,-,-,-,(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(0),文献値から推計推計
06,06160,0645,チンゲンサイ　葉　生,96.0,-,-,-,-,-,-,-,-,-,0.1,-,-,Tr,-,-,-,-,-,-,-,-,-,0.1,
06,06161,0646,チンゲンサイ　葉　ゆで,95.3,-,-,-,-,-,-,-,-,-,(0.1),-,-,(Tr),-,-,-,-,-,-,-,-,-,(0.1),06160チンゲンサイ生から推計
06,06338,0647,チンゲンサイ　葉　油いため,92.6,-,-,-,-,-,-,-,-,-,(0.1),-,-,(Tr),-,-,-,-,-,-,-,-,-,(0.1),可食部(100g)から脂質量(g)を差し引いた部分について06160チンゲンサイ生から推計
06,06175,0662,（とうもろこし類）　スイートコーン　未熟種子　生,77.1,-,-,-,-,-,0,-,Tr,-,0.1,-,-,0,-,-,-,-,-,0,-,-,-,0.2,
06,06176,0663,（とうもろこし類）　スイートコーン　未熟種子　ゆで,75.4,-,-,-,-,-,(0),-,(Tr),-,(0.1),-,-,(0),-,-,-,-,-,-,-,-,-,(0.2),06175スイートコーン生から推計
06,06339,0664,（とうもろこし類）　スイートコーン　未熟種子　電子レンジ調理,73.5,-,-,-,-,-,(0),-,(Tr),-,(0.1),-,-,(0),-,-,-,-,-,-,-,-,-,(0.2),06175スイートコーン生から推計
06,06177,0665,（とうもろこし類）　スイートコーン　未熟種子　穂軸つき　冷凍,75.6,-,-,-,-,-,(0),-,(Tr),-,(0.1),-,-,(0),-,-,-,-,-,-,-,-,-,(0.2),06175スイートコーン生から推計
06,06178,0666,（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍,75.5,-,-,-,-,-,-,-,Tr,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,0.1,
06,06378,0667,（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　ゆで,76.5,-,-,-,-,-,-,-,Tr,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,0.1,
06,06379,0668,（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　油いため,71.8,-,-,-,-,-,-,-,Tr,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,0.1,
06,06182,0672,（トマト類）　赤色トマト　果実　生,94.0,-,0,-,0,-,-,-,-,-,Tr,-,-,0.4,-,-,-,-,-,-,-,-,-,0.4,
06,06183,0673,（トマト類）　赤色ミニトマト　果実　生,91.0,-,0,-,0,-,-,-,-,-,Tr,-,-,0.6,-,-,-,-,-,-,-,-,-,0.6,
06,06370,0675,（トマト類）　ドライトマト,9.5,-,-,-,-,-,-,-,Tr,-,0.5,-,-,3.2,-,-,-,-,-,-,-,-,-,3.6,
06,06191,0685,（なす類）　なす　果実　生,93.2,-,-,-,-,-,Tr,-,-,-,0.2,-,-,Tr,-,-,0,-,-,0.1,-,-,-,0.4,
06,06192,0686,（なす類）　なす　果実　ゆで,94.0,-,-,-,-,-,(Tr),-,-,-,(0.2),-,-,(0),-,-,-,-,-,(0.1),-,-,-,(0.3),06191なす生から推計
06,06342,0687,（なす類）　なす　果実　油いため,85.8,-,-,-,-,-,(Tr),-,-,-,(0.3),-,-,(Tr),-,-,-,-,-,(0.2),-,-,-,(0.5),可食部(100g)から脂質量(g)を差し引いた部分について06191なす生から推計
06,06193,0689,（なす類）　べいなす　果実　生,93.0,-,-,-,-,-,(Tr),-,-,-,(0.2),-,-,(Tr),-,-,-,-,-,(0.1),-,-,-,(0.4),06191なす生から推計
06,06194,0690,（なす類）　べいなす　果実　素揚げ,74.8,-,-,-,-,-,(Tr),-,-,-,(0.2),-,-,(Tr),-,-,-,-,-,(0.2),-,-,-,(0.5),可食部(100g)から脂質量(g)を差し引いた部分について06191なす生から推計
06,06205,0701,にがうり　果実　生,94.4,-,-,-,-,-,-,-,-,-,Tr,-,-,0,-,-,-,-,-,-,-,-,-,Tr,
