category,food_id,id,name,WATER,FIBSOL,FIBINS,FIBTG,FIB-SDFS,FIB-SDFP,FIB-IDF,STARES,FIB-TDF,
01,01051,0065,こむぎ　［中華めん類］　干し中華めん　ゆで,66.8,0.7,0.9,1.6,1.0,0.6,1.0,0.5,2.6,
01,01052,0066,こむぎ　［中華めん類］　沖縄そば　生,32.3,1.3,0.8,2.1,-,-,-,-,-,
01,01053,0067,こむぎ　［中華めん類］　沖縄そば　ゆで,65.5,0.8,0.7,1.5,-,-,-,-,-,
01,01054,0068,こむぎ　［中華めん類］　干し沖縄そば　乾,13.7,1.3,0.8,2.1,-,-,-,-,-,
01,01055,0069,こむぎ　［中華めん類］　干し沖縄そば　ゆで,65.0,0.6,0.9,1.5,-,-,-,-,-,
01,01056,0070,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,2.0,1.6,0.9,2.5,-,-,-,-,-,
01,01057,0071,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,3.0,1.4,1.0,2.4,-,-,-,-,-,
01,01198,0072,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,78.5,(0.3),(0.2),(0.5),-,-,-,-,-,01057即席中華めん、油揚げ、乾より推計
01,01189,0073,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,59.8,-,-,-,0.9,0.7,1.1,0.5,2.6,
01,01144,0074,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,3.7,-,-,-,2.0,1.6,1.9,0.9,5.5,
01,01058,0075,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,10.0,1.4,0.9,2.3,-,-,-,-,-,
01,01199,0076,こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,76.2,(0.3),(0.3),(0.6),-,-,-,-,-,01058即席中華めん、非油揚げ、乾より推計
01,01190,0077,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,63.9,-,-,-,1.0,0.5,1.2,0.6,2.7,
01,01145,0078,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,10.7,-,-,-,2.6,1.8,2.1,0.8,6.5,
01,01193,0079,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,5.3,-,-,-,3.0,1.3,1.6,0.5,5.8,
01,01201,0080,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,79.8,-,-,-,(0.7),(0.3),(0.4),(0.1),(1.3),01193中華スタイル即席カップめん、油揚げ、塩味、乾より推計
01,01194,0081,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,62.0,-,-,-,0.8,0.6,0.8,0.4,2.2,
01,01191,0082,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,9.7,-,-,-,3.1,1.5,1.5,0.5,6.1,
01,01200,0083,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,80.8,-,-,-,(0.7),(0.4),(0.4),(0.1),(1.4),01191中華スタイル即席カップめん、油揚げ、しょうゆ味、乾より推計
01,01192,0084,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,69.1,-,-,-,0.8,0.5,0.7,0.3,1.9,
01,01060,0085,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,11.1,1.1,1.1,2.2,2.4,1.4,1.9,0.4,5.7,
01,01202,0086,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,53.6,-,-,-,(1.4),(0.8),(1.1),(0.2),(3.3),01060中華スタイル即席カップめん、油揚げ、焼きそば、乾より推計
01,01061,0087,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,15.2,1.6,1.1,2.7,2.2,2.2,2.0,0.5,6.4,
01,01203,0088,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,83.5,-,-,-,(0.5),(0.5),(0.5),(0.1),(1.5),01061中華スタイル即席カップめん、非油揚げ、乾より推計
01,01195,0089,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,68.8,-,-,-,0.6,0.5,1.3,0.4,2.5,
01,01062,0090,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,6.2,1.3,0.6,1.9,2.6,2.0,1.4,0.4,6.0,
01,01204,0091,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,80.5,-,-,-,(0.6),(0.5),(0.3),(0.1),(1.4),01062和風スタイル即席カップめん、油揚げ、乾より推計
01,01196,0092,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,64.4,-,-,-,0.9,0.7,0.9,0.4,2.4,
01,01063,0093,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,11.3,1.4,1.6,3.0,1.6,1.9,2.0,0.2,5.4,
01,01064,0094,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,60.0,0.5,1.2,1.7,0.6,0.8,1.7,0.4,3.0,
01,01173,0095,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,57.0,(0.5),(1.2),(1.6),(0.5),(0.7),(1.6),(0.4),(2.9),原材料配合割合から推計
01,01149,0096,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,42.0,0.8,0.7,1.5,-,-,-,-,-,
01,01065,0097,こむぎ　［ふ類］　生ふ,60.0,0.2,0.3,0.5,-,-,-,-,-,
01,01066,0098,こむぎ　［ふ類］　焼きふ　釜焼きふ,11.3,1.1,2.6,3.7,-,-,-,-,-,
01,01067,0099,こむぎ　［ふ類］　焼きふ　板ふ,12.5,1.5,2.3,3.8,-,-,-,-,-,
01,01068,0100,こむぎ　［ふ類］　焼きふ　車ふ,11.4,1.1,1.5,2.6,-,-,-,-,-,
01,01070,0102,こむぎ　［その他］　小麦はいが,3.6,0.7,13.6,14.3,-,-,-,-,-,
01,01071,0103,こむぎ　［その他］　小麦たんぱく　粉末状,6.5,0.5,1.9,2.4,-,-,-,-,-,
01,01072,0104,こむぎ　［その他］　小麦たんぱく　粒状,76.0,0,0.4,0.4,-,-,-,-,-,
01,01073,0105,こむぎ　［その他］　小麦たんぱく　ペースト状,66.0,0,0.5,0.5,-,-,-,-,-,
01,01074,0107,こむぎ　［その他］　ぎょうざの皮　生,32.0,1.0,1.2,2.2,-,-,-,-,-,
01,01075,0108,こむぎ　［その他］　しゅうまいの皮　生,31.1,1.0,1.2,2.2,-,-,-,-,-,
01,01179,0109,こむぎ　［その他］　春巻きの皮　生,26.7,-,-,-,2.1,1.2,1.2,0.4,4.5,
01,01180,0110,こむぎ　［その他］　春巻きの皮　揚げ,7.3,-,-,-,1.9,1.2,1.1,0.5,4.2,
01,01076,0111,こむぎ　［その他］　ピザ生地,35.3,0.8,1.5,2.3,-,-,-,-,-,
01,01069,0112,こむぎ　［その他］　ちくわぶ,60.4,0.6,0.9,1.5,-,-,-,-,-,
01,01077,0113,こむぎ　［その他］　パン粉　生,35.0,1.2,1.8,3.0,-,-,-,-,-,
01,01078,0114,こむぎ　［その他］　パン粉　半生,26.0,1.4,2.1,3.5,-,-,-,-,-,
01,01079,0115,こむぎ　［その他］　パン粉　乾燥,11.9,1.4,2.1,3.5,1.4,1.8,3.4,1.1,6.5,
01,01150,0116,こむぎ　［その他］　冷めん　生,36.4,0.6,0.6,1.1,-,-,-,-,-,
01,01080,0117,こめ　［水稲穀粒］　玄米,14.9,0.7,2.3,3.0,-,-,-,-,-,
01,01081,0118,こめ　［水稲穀粒］　半つき米,14.9,0.4,1.0,1.4,-,-,-,-,-,
01,01082,0119,こめ　［水稲穀粒］　七分つき米,14.9,0.2,0.7,0.9,-,-,-,-,-,
01,01083,0120,こめ　［水稲穀粒］　精白米　うるち米,14.9,Tr,0.5,0.5,-,-,-,-,-,
01,01151,0121,こめ　［水稲穀粒］　精白米　もち米,14.9,(Tr),(0.5),(0.5),-,-,-,-,-,01083水稲穀粒うるち米から推計
01,01152,0122,こめ　［水稲穀粒］　精白米　インディカ米,13.7,0.1,0.4,0.5,-,-,-,-,-,
01,01084,0123,こめ　［水稲穀粒］　はいが精米,14.9,0.3,1.0,1.3,-,-,-,-,-,
01,01153,0124,こめ　［水稲穀粒］　発芽玄米,14.9,0.5,2.6,3.1,-,-,-,-,-,
01,01181,0125,こめ　［水稲穀粒］　赤米,14.6,-,-,-,0.5,0.6,5.4,0.2,6.5,
01,01182,0126,こめ　［水稲穀粒］　黒米,15.2,-,-,-,0.8,0.9,3.9,0.2,5.6,
01,01085,0127,こめ　［水稲めし］　玄米,60.0,0.2,1.2,1.4,-,-,-,-,-,
01,01086,0128,こめ　［水稲めし］　半つき米,60.0,0.2,0.6,0.8,-,-,-,-,-,
01,01087,0129,こめ　［水稲めし］　七分つき米,60.0,0.1,0.4,0.5,-,-,-,-,-,
01,01168,0130,こめ　［水稲めし］　精白米　インディカ米,54.0,0,0.4,0.4,-,-,-,-,-,
01,01088,0131,こめ　［水稲めし］　精白米　うるち米,60.0,0,0.3,0.3,0.9,Tr,0.6,0.1,1.5,
01,01154,0132,こめ　［水稲めし］　精白米　もち米,52.1,(0),(0.4),(0.4),-,-,-,-,-,01088水稲めしうるち米から推計
01,01089,0133,こめ　［水稲めし］　はいが精米,60.0,0.2,0.6,0.8,-,-,-,-,-,
01,01155,0134,こめ　［水稲めし］　発芽玄米,60.0,0.2,1.6,1.8,-,-,-,-,-,
01,01183,0135,こめ　［水稲めし］　赤米,61.3,-,-,-,0.9,0.2,2.3,0.1,3.4,
01,01184,0136,こめ　［水稲めし］　黒米,62.0,-,-,-,1.0,0.3,2.0,0.1,3.3,
01,01185,0137,こめ　［水稲軟めし］　精白米,71.5,(0),(0.3),(0.3),(0.7),(Tr),(0.4),(0.1),(1.1),01088水稲めしうるち米から推計
01,01090,0138,こめ　［水稲全かゆ］　玄米,83.0,(0.1),(0.5),(0.6),-,-,-,-,-,
01,01091,0139,こめ　［水稲全かゆ］　半つき米,83.0,(0.1),(0.2),(0.3),-,-,-,-,-,
01,01092,0140,こめ　［水稲全かゆ］　七分つき米,83.0,(Tr),(0.2),(0.2),-,-,-,-,-,
01,01093,0141,こめ　［水稲全かゆ］　精白米,83.0,(0),(0.1),(0.1),-,-,-,-,-,
01,01094,0142,こめ　［水稲五分かゆ］　玄米,91.5,(Tr),(0.3),(0.3),-,-,-,-,-,
01,01095,0143,こめ　［水稲五分かゆ］　半つき米,91.5,(Tr),(0.1),(0.1),-,-,-,-,-,
01,01096,0144,こめ　［水稲五分かゆ］　七分つき米,91.5,(Tr),(0.1),(0.1),-,-,-,-,-,
01,01097,0145,こめ　［水稲五分かゆ］　精白米,91.5,(0),(0.1),(0.1),-,-,-,-,-,
01,01098,0146,こめ　［水稲おもゆ］　玄米,95.0,(Tr),(0.2),(0.2),-,-,-,-,-,
01,01099,0147,こめ　［水稲おもゆ］　半つき米,95.0,(Tr),(0.1),(0.1),-,-,-,-,-,
01,01100,0148,こめ　［水稲おもゆ］　七分つき米,95.0,(Tr),(Tr),(Tr),-,-,-,-,-,
01,01101,0149,こめ　［水稲おもゆ］　精白米,95.0,(0),(Tr),(Tr),-,-,-,-,-,
01,01102,0150,こめ　［陸稲穀粒］　玄米,14.9,0.7,2.3,3.0,-,-,-,-,-,
01,01103,0151,こめ　［陸稲穀粒］　半つき米,14.9,0.4,1.0,1.4,-,-,-,-,-,
01,01104,0152,こめ　［陸稲穀粒］　七分つき米,14.9,0.2,0.7,0.9,-,-,-,-,-,
